fov segment, laser convert, laser ds, map update, optimize, poseEstimate, processMeasurement, pub cloud, 
0.029159,1.12367,1.86674,0.16813,7.66646,18.1761,8.26679,0.016208,
0.021379,1.11554,1.85435,0.153771,7.57184,7.84412,8.18313,0.015484,
0.01967,1.14488,1.86074,0.153148,7.86176,7.74651,11.6369,0.0111,
0.020593,1.01252,1.88909,0.155759,11.1066,8.03991,11.5908,0.011218,
0.020296,1.02063,1.86024,0.155264,7.59913,11.284,11.7873,0.063019,
0.02099,1.02631,1.84977,0.161818,15.1017,7.78457,8.24061,0.015204,
0.021218,0.99336,1.83887,0.156466,11.6722,15.2817,9.17871,0.014009,
0.020355,1.01973,1.84971,0.158522,8.17476,11.8528,11.5742,0.011329,
0.020304,1.06903,1.89402,0.162446,11.6457,8.35926,8.3246,0.011416,
0.019409,1.02575,1.84808,0.160038,8.04355,11.8268,8.47508,0.011826,
0.020223,0.982424,1.89268,0.171738,12.0704,8.23704,18.7027,0.011431,
0.020355,1.31503,2.31982,0.168711,8.28047,12.2613,8.36037,0.011621,
0.01906,1.14924,1.89685,0.167299,15.9056,8.46865,8.26296,0.013053,
0.019056,1.21135,1.8389,0.16259,8.39861,16.0896,8.56442,0.011595,
0.019395,1.26003,1.87976,0.167038,16.2419,8.58673,11.9338,0.011426,
0.020171,0.99604,1.82988,0.160264,12.4172,16.4242,8.3082,0.016641,
0.019019,0.983318,1.85413,0.167977,8.59776,12.6059,15.8113,0.011999,
0.028838,0.99712,1.87655,0.2139,8.03616,8.84237,12.3801,0.021143,
0.026829,1.02073,1.93492,0.159631,15.4001,8.22467,8.89406,0.022259,
0.028985,0.987984,1.92185,0.164297,11.8094,15.5954,12.3868,0.017731,
0.02626,1.00689,2.78628,0.160382,8.20246,11.9979,8.78515,0.024564,
0.025038,1.01452,1.98575,0.163838,11.8509,8.39307,12.8068,0.017739,
0.026846,0.980342,2.05439,0.169449,8.08996,12.0491,9.24028,0.014915,
0.027121,1.00781,1.99469,0.162648,8.15144,8.28209,16.6349,0.022062,
0.026399,1.03996,2.83994,0.162005,8.20563,8.3416,9.15691,0.017333,
0.026087,1.01816,1.96131,0.163303,15.5211,8.39676,16.9795,0.014583,
0.025652,1.01049,2.06942,0.163472,15.2636,15.712,13.1761,0.063024,
0.036562,1.00555,1.98133,0.161113,7.84247,15.4631,9.5665,0.022361,
0.035372,1.04382,2.11011,0.157219,7.9581,8.03697,8.79046,0.025165,
0.03657,1.00268,1.94526,0.155946,11.0539,8.15263,16.1596,0.029202,
0.03935,0.980792,2.0145,0.160117,7.97073,11.2553,12.5666,0.026815,
0.038084,1.28363,2.43799,0.196958,8.20312,8.20774,8.96182,0.015842,
0.027599,1.32042,2.04267,0.153093,11.3597,8.38602,12.6164,0.023376,
0.027599,1.27996,2.41762,0.15651,7.98824,11.5455,8.85076,0.011604,
0.026623,1.27943,2.08669,0.159873,8.04499,8.17643,8.9048,0.016978,
0.026567,1.00121,1.93528,0.161909,8.12628,8.23568,8.95687,0.015665,
0.026371,0.988608,2.79244,0.16882,7.79413,8.32368,16.3196,0.029853,
0.025613,1.29007,2.38607,0.154392,7.74452,7.97578,16.0282,0.013749,
0.02606,1.28557,2.40747,0.153075,7.79849,7.92535,8.59609,0.023313,
0.027811,1.13416,1.8954,0.160346,11.1877,7.98833,8.70727,0.012868,
0.026478,1.30201,1.93406,0.156072,14.7928,11.372,11.8072,0.020429,
0.025725,1.28422,2.2896,0.157951,11.4817,14.9782,8.74497,0.070295,
0.027364,1.289,1.91844,0.163324,7.95254,11.6745,8.96784,0.017121,
0.026993,1.29595,1.95935,0.161722,7.92117,8.14309,12.0864,0.012667,
0.026594,1.30334,2.4698,0.162018,8.02297,8.11148,8.74708,0.071207,
0.02627,1.31773,1.9531,0.163399,7.96278,8.21439,8.79039,0.030136,
0.027303,1.30331,1.93244,0.159888,8.00091,8.15178,8.88605,0.015032,
0.029334,1.2882,1.91485,0.169251,11.4008,8.20209,8.51266,0.019711,
0.029274,1.28496,1.94313,0.169463,11.3824,11.6018,8.46756,0.014361,
0.027453,1.24105,1.90971,0.160551,15.1148,11.5723,8.5227,0.032397,
0.028042,1.17235,1.91434,0.159281,11.7262,15.304,11.9149,0.013187,
0.028424,1.29456,2.3951,0.16063,8.08338,11.9171,15.5761,0.02435,
0.027927,1.3224,2.42959,0.163511,8.05509,8.27652,12.2256,0.017653,
0.027755,1.3095,2.39816,0.171664,11.7249,8.25617,8.69083,0.029262,
0.029298,1.20208,1.92142,0.175576,12.2568,11.932,8.72685,0.021049,
0.029098,1.21128,1.90595,0.176507,8.41603,12.4642,8.77925,0.02213,
0.028152,1.26801,1.92027,0.167479,8.37047,8.61341,8.70299,0.014628,
0.02774,1.27555,1.88896,0.170045,8.45712,8.57046,8.74758,0.065073,
0.026602,1.30435,1.89217,0.169967,14.18,8.65544,12.1387,0.017058,
0.030459,0.981247,1.90403,0.178581,17.1162,14.3917,12.1346,0.021367,
0.02952,1.04472,1.96535,0.180173,8.97465,17.3289,15.8576,0.027366,
0.027608,0.983607,1.92045,0.169188,12.5768,9.17304,12.4796,0.016062,
0.030019,0.995112,2.03521,0.17387,12.9812,12.7825,8.8255,0.016567,
0.029472,0.99475,1.93687,0.171091,16.8829,13.1837,8.82347,0.030086,
0.029231,1.3046,1.92275,0.183386,12.9758,17.0981,12.4867,0.039804,
0.028391,0.977639,1.9539,0.170163,9.13796,13.176,13.0331,0.014226,
0.028123,1.07957,1.93464,0.172538,16.7149,9.34036,9.17209,0.023859,
0.047586,1.00026,1.94213,0.221988,12.7065,16.9876,9.18307,0.027825,
0.02834,0.994369,1.98928,0.168244,13.0521,12.9048,9.22999,0.020052,
0.029145,1.00073,1.95867,0.171061,13.1329,13.2542,18.0183,0.062722,
0.043373,1.11689,1.9611,0.173759,17.4406,13.3521,17.9025,0.019858,
0.047209,1.04406,1.94287,0.184496,13.2544,17.6744,9.74049,0.027504,
0.029557,1.045,2.03012,0.172383,13.1284,13.458,13.3536,0.02802,
0.029959,0.993783,1.95895,0.174797,13.5585,13.335,13.7668,0.020354,
0.031413,0.982108,2.04316,0.178228,9.64295,13.7698,17.9026,0.0215,
0.031458,1.3144,2.4187,0.177831,14.3174,9.85401,13.7357,0.021035,
0.031391,1.33619,2.49986,0.173463,18.4015,14.524,9.91012,0.014228,
0.033143,1.30477,2.23287,0.188472,14.1464,18.625,17.5711,0.01425,
0.03306,1.30749,2.48556,0.182215,14.3758,14.3638,13.4717,0.014291,
0.032823,1.29733,2.48787,0.178342,14.4421,14.589,13.8738,0.02135,
0.032648,1.33068,2.5246,0.183094,14.9207,14.6597,13.9301,0.025504,
0.03363,1.30536,2.47339,0.178152,14.8451,15.1343,18.2507,0.018434,
0.035475,1.31519,2.4956,0.188615,15.4179,15.0717,14.0378,0.019,
0.036181,1.32127,2.47737,0.185619,15.5848,15.6422,13.9102,0.017651,
0.033532,1.32631,2.53285,0.183209,15.4405,15.804,14.3592,0.030432,
0.033441,1.28957,2.47235,0.181731,20.3682,15.6576,10.436,0.017183,
0.045515,1.31459,2.35658,0.196104,15.8876,20.6119,15.0981,0.021219,
0.036015,1.29409,2.4746,0.184657,15.8309,16.1106,19.1999,0.025274,
0.035286,1.34042,2.55234,0.184221,11.0028,16.0523,14.9408,0.042043,
0.034703,1.29291,2.50083,0.19604,16.2523,11.2359,15.1746,0.014689,
0.038849,1.29197,2.50791,0.188598,26.9278,16.4818,15.2552,0.030237,
0.039285,1.29266,2.46974,0.191358,11.378,27.1603,15.7183,0.019382,
0.036165,1.03941,1.96873,0.185851,16.7319,11.6018,15.6631,0.03181,
0.039682,1.011,2.33251,0.212808,11.4675,16.987,16.2414,0.014771,
0.037754,0.990975,2.01444,0.195291,17.4613,11.7025,16.4184,0.014497,
0.044893,0.992955,1.98548,0.23157,22.2542,17.7402,16.2604,0.025015,
0.040176,1.03679,1.99224,0.193529,17.289,22.4898,21.216,0.015794,
0.045182,0.994916,2.03312,0.20636,29.0527,17.5428,16.9433,0.019452,
0.041018,1.01888,2.00056,0.202265,13.1621,29.2989,16.6739,0.015792,
0.039951,1.1877,1.99249,0.194214,18.5386,13.3984,11.843,0.015245,
0.046909,1.26612,2.03845,0.206236,17.7507,18.7939,17.0962,0.071906,
0.045743,0.994522,1.9642,0.207943,18.7002,18.0078,27.7711,0.015559,
0.05011,0.965175,1.96804,0.214773,18.5896,18.9686,12.2262,0.018162,
0.046517,0.99215,1.99291,0.200527,18.2852,18.8395,17.603,0.015258,
0.046683,1.0332,2.03174,0.21002,24.6495,18.5439,12.3111,0.037945,
0.044278,0.981792,2.00296,0.195003,18.0596,24.8907,18.3737,0.015291,
0.047397,1.02436,1.95964,0.201547,18.6691,18.3104,23.0916,0.018869,
0.04709,0.971407,1.96772,0.204676,18.6445,18.9229,18.1452,0.01658,
0.048727,1.17881,1.98546,0.20396,49.4674,18.8991,29.9076,0.073271,
0.04452,0.986173,1.95607,0.187458,18.6916,49.7027,13.9845,0.016988,
0.056966,0.981304,2.07345,0.200202,19.1265,18.9509,19.4476,0.033052,
0.094033,0.994445,2.04707,0.228327,13.3209,19.4515,18.6098,0.044394,
0.048417,1.02703,2.1362,0.198387,13.1351,13.5703,19.5844,0.020021,
0.04318,0.980564,2.00176,0.194354,26.8798,13.3751,19.4322,0.014803,
0.047055,1.0022,2.0226,0.203019,19.7355,27.1332,19.1547,0.016449,
0.057861,0.977151,2.02935,0.240693,19.9269,20.0361,25.4944,0.023527,
0.047639,0.994074,2.65507,0.20643,19.8498,20.1829,18.9014,0.017242,
0.055782,1.01247,2.00304,0.242225,19.507,20.1515,19.5197,0.02423,
0.049886,0.976382,2.05681,0.201718,19.6822,19.7607,19.5586,0.016124,
0.053181,0.993326,1.99377,0.208513,13.6532,19.9456,50.3108,0.11652,
0.04191,1.00468,2.02834,0.193306,19.8467,13.8901,19.5603,0.014745,
0.082772,1.0783,2.15375,0.375908,19.7343,20.3081,20.0822,0.068708,
0.079851,1.0687,2.04096,0.229518,20.0529,20.0463,14.2136,0.021085,
0.072561,1.00527,2.03009,0.207569,20.0642,20.3353,13.9778,0.021084,
0.073462,1.46023,2.5834,0.200722,19.8846,20.3405,27.7531,0.086544,
0.081452,0.990567,2.01393,0.230804,20.2826,20.1996,20.6575,0.028987,
0.071447,1.01581,2.06507,0.221069,20.2683,20.5778,20.7949,0.019048,
0.083312,0.988099,2.01398,0.227175,13.8152,20.5807,20.8195,0.033687,
0.062845,1.01203,2.11837,0.198057,27.4556,14.078,20.3633,0.016922,
0.068626,1.20071,2.01121,0.200391,13.8868,27.727,20.6543,0.01834,
0.070824,0.985276,2.11668,0.208777,14.676,14.1691,14.5537,0.020203,
0.071893,1.24511,2.03017,0.200894,35.2646,14.9518,20.9766,0.019782,
0.067275,0.973916,2.01601,0.198108,21.6747,35.5327,20.6689,0.01948,
0.103644,0.998501,2.00509,0.276448,22.2238,22.0599,20.9605,0.03181,
0.081627,0.998263,2.02289,0.234713,14.7931,22.5432,21.0318,0.020577,
0.066366,0.987718,1.98166,0.210071,28.7895,15.0723,20.8273,0.015797,
0.078149,0.986074,2.04122,0.230454,23.2871,29.1003,21.2043,0.018661,
0.081309,1.03044,2.02173,0.224067,29.1767,23.5948,21.2233,0.020972,
0.091529,1.00374,2.04123,0.213264,22.5367,29.4841,14.7147,0.031253,
0.102402,0.97869,2.04365,0.22493,15.4335,22.8674,28.3654,0.02504,
0.071774,1.43541,2.11243,0.20818,23.1109,15.7157,14.7981,0.022723,
0.088967,1.26256,2.85794,0.227631,22.0656,23.4299,15.5989,0.019593,
0.079022,1.0532,2.01397,0.213729,36.8781,22.3609,36.1629,0.0184,
0.077256,1.25475,2.07486,0.216252,22.5558,37.1742,22.71,0.019907,
0.078062,1.05615,2.11462,0.211605,22.9319,22.8475,23.203,0.01946,
0.099425,0.987214,2.05456,0.240521,15.987,23.2749,15.7204,0.02234,
0.105564,1.02418,2.0508,0.250001,16.2108,16.3463,29.7481,0.029427,
0.111437,1.09743,2.11827,0.246139,30.5542,16.5721,24.2457,0.036848,
0.113241,1.5645,2.72522,0.247586,24.7934,30.9186,30.1522,0.039296,
0.107092,1.30285,2.59871,0.240381,30.7423,25.1446,23.5211,0.030247,
0.110497,1.002,2.08092,0.234158,23.9005,31.09,16.3836,0.025561,
0.078858,1.001,2.08328,0.227135,41.0174,24.2095,24.0767,0.018524,
0.079932,1.04654,2.11109,0.208199,31.9533,41.3095,23.0083,0.018558,
0.079351,0.998169,2.0612,0.207771,35.6934,32.2432,37.8171,0.027669,
0.07736,1.03896,2.07228,0.204998,40.1768,35.9788,23.4935,0.039088,
0.097696,1.02117,2.07318,0.285721,31.5048,40.5625,23.9986,0.020516,
0.081137,1.02504,2.07878,0.264766,36.64,31.8529,16.9948,0.021962,
0.080449,1.01659,2.07857,0.206203,24.3897,36.9288,17.235,0.021062,
